HomeTeam,FTHG,FTAG,HTHG,HTAG
Fortuna Dusseldorf,0,1,0,0
Hoffenheim,1,2,0,1
Mainz,1,2,0,2
RB Leipzig,3,1,0,1
Hertha,0,4,0,0
Paderborn,1,4,0,3
Dortmund,5,1,2,0
Ein Frankfurt,2,0,0,0
Freiburg,0,2,0,0
M'gladbach,3,1,1,1
Union Berlin,2,0,0,0
Wolfsburg,1,2,0,0
Bayern Munich,5,0,2,0
Werder Bremen,0,3,0,0
Leverkusen,3,0,1,0
Hertha,0,0,0,0
Augsburg,2,1,0,1
Dortmund,5,0,2,0
Fortuna Dusseldorf,1,1,0,0
Hoffenheim,2,1,1,1
Mainz,1,3,1,3
RB Leipzig,2,2,0,2
FC Koln,4,0,1,0
Paderborn,2,4,1,2
Ein Frankfurt,5,0,1,0
Freiburg,1,0,1,0
Hertha,1,3,0,1
Schalke 04,1,1,0,0
Werder Bremen,0,2,0,0
Wolfsburg,1,1,0,1
Leverkusen,4,3,2,2
Bayern Munich,0,0,0,0
Dortmund,4,0,1,0
Augsburg,1,1,1,0
Hoffenheim,2,3,1,1
Paderborn,1,2,0,1
RB Leipzig,3,0,2,0
Union Berlin,2,3,1,1
Fortuna Dusseldorf,1,4,1,1
FC Koln,1,4,0,3
Mainz,0,0,0,0
Bayern Munich,3,2,1,1
Freiburg,0,2,0,1
Hertha,0,5,0,3
M'gladbach,1,1,1,0
Werder Bremen,0,2,0,0
Schalke 04,0,5,0,1
Leverkusen,2,0,1,0
Wolfsburg,4,0,2,0
Ein Frankfurt,1,2,0,0
Fortuna Dusseldorf,3,3,3,0
Augsburg,2,3,0,0
Dortmund,1,0,1,0
Hoffenheim,0,6,0,4
Mainz,2,0,2,0
FC Koln,3,0,2,0
Union Berlin,2,2,1,0
RB Leipzig,1,1,1,1
Paderborn,1,2,0,2
Freiburg,3,1,1,0
Hertha,2,2,1,2
Leverkusen,4,0,2,0
Schalke 04,1,1,1,0
Wolfsburg,0,0,0,0
M'gladbach,1,2,0,1
Bayern Munich,2,0,0,0
Mainz,1,1,0,0
M'gladbach,2,1,1,0
Augsburg,1,2,0,1
Dortmund,4,0,2,0
Fortuna Dusseldorf,0,0,0,0
Hoffenheim,0,3,0,0
RB Leipzig,1,1,0,1
Ein Frankfurt,1,3,0,2
FC Koln,2,2,1,0
Union Berlin,0,2,0,1
Werder Bremen,1,4,1,2
Hertha,4,0,0,0
Freiburg,0,1,0,1
M'gladbach,1,3,0,1
Paderborn,1,1,1,1
Wolfsburg,0,2,0,1
Bayern Munich,5,2,2,0
Schalke 04,0,3,0,1
Mainz,0,5,0,3
FC Koln,2,2,0,1
Dortmund,0,1,0,1
Ein Frankfurt,3,3,1,1
Leverkusen,1,4,0,1
Werder Bremen,0,0,0,0
RB Leipzig,2,2,1,1
Augsburg,0,0,0,0
Fortuna Dusseldorf,2,1,0,0
Hoffenheim,3,1,1,0
Union Berlin,1,1,1,1
Freiburg,0,1,0,0
Hertha,2,0,1,0
Mainz,0,1,0,1
Schalke 04,0,1,0,1
Wolfsburg,1,2,0,1
Bayern Munich,5,0,3,0
M'gladbach,4,1,2,0
Paderborn,1,6,0,0
FC Koln,2,4,1,2
Werder Bremen,0,3,0,0
Freiburg,1,0,0,0
Ein Frankfurt,0,2,0,1
Fortuna Dusseldorf,2,2,1,1
Leverkusen,2,4,1,3
RB Leipzig,1,1,1,0
Dortmund,1,0,0,0
Werder Bremen,0,1,0,0
Union Berlin,1,1,1,1
Augsburg,1,1,0,0
Hoffenheim,0,2,0,2
FC Koln,1,2,0,1
Fortuna Dusseldorf,0,1,0,0
Hertha,1,4,1,0
Paderborn,1,5,0,3
Wolfsburg,2,2,2,1
Bayern Munich,2,1,1,1
Mainz,0,1,0,1
Schalke 04,1,1,0,0
M'gladbach,3,0,2,0
Freiburg,2,1,0,0
Union Berlin,1,0,1,0
Werder Bremen,0,1,0,1
Ein Frankfurt,2,1,1,0
Augsburg,1,3,0,0
Dortmund,0,2,0,1
Leverkusen,3,1,2,0
RB Leipzig,2,2,0,0
Bayern Munich,3,1,3,1
FC Koln,1,1,1,0
Fortuna Dusseldorf,1,1,1,1
Hertha,2,0,1,0
Hoffenheim,4,0,3,0
Mainz,3,1,2,0
Paderborn,1,3,0,1
RB Leipzig,0,2,0,1
Schalke 04,1,4,0,1
Augsburg,1,2,0,1
Dortmund,0,4,0,2
Ein Frankfurt,3,2,2,0
Freiburg,4,0,2,0
Leverkusen,1,0,1,0
M'gladbach,2,1,1,0
Union Berlin,3,0,1,0
Werder Bremen,6,1,3,0
Wolfsburg,0,4,0,2
Bayern Munich,8,0,3,0
Ein Frankfurt,1,1,0,0
FC Koln,2,3,1,2
Stuttgart,2,3,0,2
Union Berlin,1,3,0,1
Werder Bremen,1,4,0,2
Dortmund,3,0,1,0
RB Leipzig,3,1,2,0
Wolfsburg,0,0,0,0
Hertha,1,3,0,2
Augsburg,2,0,1,0
Bielefeld,1,0,0,0
Leverkusen,1,1,1,1
Mainz,1,4,1,1
M'gladbach,1,1,0,0
Schalke 04,1,3,0,2
Hoffenheim,4,1,2,1
Freiburg,1,1,1,1
Union Berlin,4,0,1,0
Dortmund,4,0,1,0
Ein Frankfurt,2,1,0,1
FC Koln,1,3,0,2
Stuttgart,1,1,0,1
Werder Bremen,1,0,1,0
RB Leipzig,4,0,3,0
Wolfsburg,0,0,0,0
Bayern Munich,4,3,1,0
Augsburg,0,2,0,1
Freiburg,1,1,1,1
Hertha,0,2,0,1
Hoffenheim,0,1,0,0
Mainz,0,1,0,1
Bielefeld,1,4,0,3
M'gladbach,1,1,0,0
FC Koln,1,1,0,1
Schalke 04,1,1,0,0
Stuttgart,1,1,1,1
Bayern Munich,5,0,2,0
Mainz,2,3,2,1
RB Leipzig,2,1,1,1
Union Berlin,1,1,1,1
Dortmund,3,0,0,0
Wolfsburg,2,1,2,0
Werder Bremen,1,1,1,1
Leverkusen,3,1,1,0
Schalke 04,1,1,1,0
Augsburg,3,1,1,0
Bielefeld,0,2,0,0
Ein Frankfurt,1,1,0,0
FC Koln,1,2,0,2
M'gladbach,1,0,0,0
Freiburg,2,4,1,2
Hertha,1,1,1,1
Hoffenheim,1,3,0,0
Werder Bremen,1,1,0,0
Augsburg,0,3,0,1
Mainz,2,2,2,1
RB Leipzig,3,0,1,0
Stuttgart,2,2,2,0
Union Berlin,5,0,3,0
Dortmund,2,3,1,1
Wolfsburg,2,1,2,0
Leverkusen,4,3,2,2
Bayern Munich,1,1,0,1
Bielefeld,1,2,0,1
Hoffenheim,3,3,1,2
M'gladbach,1,1,1,0
Schalke 04,0,2,0,2
Ein Frankfurt,1,1,1,0
Hertha,2,5,1,0
Freiburg,1,3,0,3
FC Koln,1,2,1,1
Wolfsburg,5,3,3,2
Augsburg,1,1,0,0
Dortmund,1,2,0,1
RB Leipzig,2,1,1,0
Stuttgart,1,3,1,2
Union Berlin,3,3,2,2
M'gladbach,4,1,2,1
Leverkusen,0,0,0,0
Mainz,1,1,1,0
Hertha,3,1,0,1
Bielefeld,2,1,2,0
Ein Frankfurt,1,1,1,0
FC Koln,2,2,2,1
Freiburg,2,2,1,1
Bayern Munich,3,3,2,2
Werder Bremen,1,2,0,1
Schalke 04,0,3,0,1
Hoffenheim,3,1,1,1
Wolfsburg,2,1,0,0
Dortmund,1,5,1,1
Freiburg,2,0,0,0
Mainz,0,1,0,0
M'gladbach,1,1,0,0
RB Leipzig,2,0,2,0
Union Berlin,1,1,1,0
Augsburg,2,2,1,0
Leverkusen,4,1,2,0
Ein Frankfurt,3,3,3,1
Hertha,0,0,0,0
Stuttgart,2,2,0,1
Werder Bremen,1,2,1,1
Schalke 04,0,2,0,0
Bayern Munich,2,1,1,1
Bielefeld,0,1,0,0
FC Koln,0,4,0,2
Hoffenheim,0,1,0,0
Union Berlin,2,1,0,0
Augsburg,0,2,0,0
Mainz,0,1,0,0
M'gladbach,1,2,1,0
RB Leipzig,0,0,0,0
Schalke 04,0,1,0,0
Leverkusen,1,2,1,1
Freiburg,4,1,1,0
Wolfsburg,1,0,0,0
Bielefeld,0,1,0,0
Ein Frankfurt,2,1,1,1
FC Koln,0,1,0,0
Hoffenheim,1,3,0,3
Werder Bremen,0,2,0,2
Hertha,3,0,1,0
Stuttgart,0,1,0,0
Dortmund,2,0,0,0
Bayern Munich,5,2,0,2
M'gladbach,3,2,2,2
Freiburg,5,0,2,0
Leverkusen,1,1,0,0
Mainz,0,2,0,1
Schalke 04,4,0,1,0
Union Berlin,2,2,1,1
RB Leipzig,1,3,0,0
Augsburg,1,4,0,2
Bielefeld,1,0,0,0
Union Berlin,1,0,0,0
Dortmund,1,1,0,0
FC Koln,0,0,0,0
Hoffenheim,0,0,0,0
Werder Bremen,2,0,0,0
Wolfsburg,2,2,2,1
Stuttgart,2,2,0,1
Bayern Munich,2,1,1,0
Ein Frankfurt,3,1,1,1
M'gladbach,1,0,0,0
Hertha,0,3,0,1
Leverkusen,2,1,1,0
Mainz,0,2,0,0
Schalke 04,1,2,0,1
Augsburg,0,1,0,1
Bielefeld,3,0,1,0
Freiburg,2,2,1,1
RB Leipzig,1,0,0,0
M'gladbach,4,2,2,2
Augsburg,2,1,1,1
Bielefeld,1,5,1,3
Freiburg,2,1,2,1
Leverkusen,0,1,0,1
Mainz,3,2,2,2
Hertha,1,4,1,2
Schalke 04,0,4,0,1
Hoffenheim,3,0,2,0
Stuttgart,2,0,0,0
Bayern Munich,4,1,2,1
Dortmund,3,1,1,1
Ein Frankfurt,3,1,0,0
Union Berlin,1,1,1,0
Werder Bremen,1,1,0,1
RB Leipzig,1,0,0,0
FC Koln,3,1,2,0
Wolfsburg,3,0,2,0
Hertha,0,1,0,1
Augsburg,0,2,0,1
Freiburg,2,1,0,0
Leverkusen,5,2,2,0
Mainz,1,0,1,0
Schalke 04,0,3,0,1
M'gladbach,1,2,1,1
Hoffenheim,1,3,0,1
RB Leipzig,2,1,2,0
Dortmund,2,2,1,1
Leverkusen,2,2,1,0
Stuttgart,1,1,1,0
Werder Bremen,0,0,0,0
Union Berlin,0,0,0,0
Ein Frankfurt,2,0,0,0
Wolfsburg,0,0,0,0
Bayern Munich,3,3,0,2
Bielefeld,0,3,0,1
Ein Frankfurt,2,1,2,0
FC Koln,0,1,0,0
Freiburg,0,1,0,0
M'gladbach,1,2,1,1
Schalke 04,0,4,0,2
Augsburg,1,1,1,0
Hertha,0,3,0,1
Hoffenheim,4,0,2,0
Werder Bremen,2,1,0,1
Bayern Munich,5,1,2,0
Dortmund,3,0,0,0
Stuttgart,5,1,3,1
Wolfsburg,2,0,1,0
RB Leipzig,3,2,0,2
Union Berlin,1,1,1,1
Mainz,0,1,0,1
Leverkusen,1,2,0,0
Schalke 04,0,0,0,0
Ein Frankfurt,1,1,0,0
Freiburg,0,3,0,1
Hertha,2,1,0,1
Hoffenheim,2,1,2,1
M'gladbach,0,1,0,0
Bayern Munich,4,2,2,2
FC Koln,1,1,0,0
Bielefeld,0,0,0,0
Bielefeld,0,2,0,0
Augsburg,3,1,0,0
Mainz,1,0,0,0
Union Berlin,2,1,0,1
Werder Bremen,1,3,0,2
Wolfsburg,5,0,1,0
Dortmund,2,0,0,0
Leverkusen,1,2,0,1
RB Leipzig,1,1,0,0
Stuttgart,2,0,1,0
Bielefeld,0,1,0,0
Bayern Munich,4,0,4,0
Ein Frankfurt,5,2,4,2
FC Koln,2,2,1,1
Werder Bremen,1,2,1,2
Schalke 04,0,3,0,1
Hoffenheim,1,2,1,2
Hertha,3,0,3,0
Freiburg,2,0,0,0
Augsburg,2,1,2,0
Dortmund,1,2,1,1
Leverkusen,2,1,1,0
Mainz,1,1,0,0
Wolfsburg,1,0,0,0
RB Leipzig,0,1,0,1
M'gladbach,2,1,0,1
Stuttgart,1,0,0,0
Union Berlin,1,1,1,1
Bielefeld,1,0,0,0
Bayern Munich,1,1,0,0
Ein Frankfurt,4,3,2,1
Hertha,2,2,1,2
Werder Bremen,1,4,0,3
Stuttgart,2,3,1,0
Schalke 04,1,0,1,0
FC Koln,2,3,1,1
Hoffenheim,0,0,0,0
RB Leipzig,0,0,0,0
Augsburg,0,0,0,0
Freiburg,4,0,2,0
M'gladbach,4,0,1,0
Union Berlin,2,1,2,0
Wolfsburg,2,3,1,3
Leverkusen,3,0,1,0
Dortmund,4,1,3,1
FC Koln,2,1,0,0
Bayern Munich,2,0,2,0
Bielefeld,1,0,0,0
Ein Frankfurt,2,0,1,0
Dortmund,2,0,1,0
Hoffenheim,3,2,0,2
Stuttgart,1,3,0,2
Werder Bremen,0,1,0,1
Augsburg,2,3,0,3
Freiburg,1,1,0,1
Mainz,2,1,2,0
Union Berlin,3,1,0,0
Wolfsburg,0,2,0,1
Leverkusen,3,1,0,0
RB Leipzig,2,0,0,0
M'gladbach,5,0,3,0
Mainz,1,1,1,1
Hertha,3,0,2,0
Stuttgart,2,1,1,0
Dortmund,3,2,1,0
Hoffenheim,4,2,0,2
Werder Bremen,0,0,0,0
Wolfsburg,3,0,1,0
Bayern Munich,6,0,4,0
FC Koln,1,4,0,2
Ein Frankfurt,1,1,0,1
Hertha,0,0,0,0
Schalke 04,1,2,1,1
Augsburg,2,0,0,0
Bielefeld,1,1,1,1
Freiburg,2,2,1,1
Hertha,0,0,0,0
Leverkusen,1,1,1,0
M'gladbach,1,2,1,0
Schalke 04,4,3,1,1
Mainz,1,3,0,2
RB Leipzig,2,2,0,2
Bayern Munich,5,2,4,0
Dortmund,3,1,1,0
Ein Frankfurt,3,1,0,0
FC Koln,1,0,0,0
Hoffenheim,2,1,0,1
Stuttgart,0,2,0,0
Union Berlin,2,1,0,0
Werder Bremen,2,4,0,1
Wolfsburg,2,3,0,1
M'gladbach,1,1,1,1
Augsburg,0,4,0,1
Bielefeld,0,0,0,0
Stuttgart,5,1,2,0
Union Berlin,1,1,1,1
Wolfsburg,1,0,1,0
Dortmund,5,2,3,1
Mainz,1,0,1,0
FC Koln,3,1,1,1
RB Leipzig,4,0,1,0
Bochum,2,0,1,0
Ein Frankfurt,0,0,0,0
Freiburg,2,1,1,0
Greuther Furth,1,1,0,1
Hertha,1,2,0,0
Leverkusen,4,0,2,0
Hoffenheim,2,2,2,1
Bayern Munich,3,2,0,0
Dortmund,3,2,0,0
Augsburg,1,4,1,2
Bielefeld,1,1,0,1
FC Koln,2,1,0,0
Mainz,3,0,2,0
Stuttgart,2,3,2,3
Bayern Munich,5,0,2,0
Union Berlin,2,1,2,0
Wolfsburg,1,0,0,0
Freiburg,1,1,0,1
Greuther Furth,0,2,0,1
Hoffenheim,0,2,0,1
Leverkusen,3,4,2,1
Union Berlin,0,0,0,0
RB Leipzig,1,4,0,1
Ein Frankfurt,1,1,0,0
Bochum,1,3,0,2
M'gladbach,3,1,1,1
Hertha,2,1,0,0
Augsburg,1,0,0,0
Bayern Munich,7,0,4,0
Bielefeld,0,0,0,0
Mainz,0,0,0,0
FC Koln,1,1,0,0
Stuttgart,1,3,1,2
Dortmund,4,2,2,0
Wolfsburg,1,1,0,1
Greuther Furth,1,3,0,2
Ein Frankfurt,1,1,1,1
Hoffenheim,3,1,1,1
Leverkusen,1,0,0,0
RB Leipzig,6,0,3,0
Union Berlin,1,0,0,0
M'gladbach,1,0,1,0
Bochum,0,0,0,0
Freiburg,3,0,3,0
FC Koln,3,1,0,1
Dortmund,2,1,1,1
Hertha,1,2,0,1
Stuttgart,3,1,1,0
Wolfsburg,1,3,1,2
RB Leipzig,3,0,0,0
Mainz,1,2,1,0
Bayern Munich,1,2,1,1
Bielefeld,0,4,0,2
Hoffenheim,5,0,1,0
Dortmund,3,1,1,0
Ein Frankfurt,1,2,0,1
Freiburg,1,1,0,1
Greuther Furth,0,1,0,0
Union Berlin,2,0,0,0
M'gladbach,1,1,1,1
Leverkusen,1,5,0,5
Augsburg,1,1,1,0
Mainz,4,1,3,0
Bayern Munich,4,0,2,0
Bielefeld,1,3,0,2
RB Leipzig,4,1,0,1
Wolfsburg,0,2,0,1
Hertha,1,0,1,0
FC Koln,2,2,0,2
Stuttgart,1,1,0,1
Bochum,2,0,1,0
Hoffenheim,2,0,2,0
Bielefeld,1,2,1,1
Dortmund,2,0,1,0
Freiburg,3,1,2,0
Leverkusen,0,2,0,0
Union Berlin,2,5,1,3
Ein Frankfurt,1,1,0,1
Augsburg,4,1,1,1
M'gladbach,2,1,2,0
Mainz,1,1,0,1
Bayern Munich,2,1,1,0
Bochum,2,0,0,0
Stuttgart,0,1,0,1
Wolfsburg,1,0,1,0
RB Leipzig,2,1,1,0
Hertha,1,1,1,0
FC Koln,2,2,1,2
Greuther Furth,1,2,0,0
Augsburg,2,1,2,1
Bielefeld,2,2,1,0
Dortmund,2,1,0,0
Hoffenheim,2,0,1,0
Leverkusen,1,0,1,0
M'gladbach,4,0,3,0
Union Berlin,2,0,2,0
Freiburg,0,2,0,2
Mainz,1,1,1,0
Stuttgart,2,1,1,1
Bochum,2,1,0,0
FC Koln,4,1,0,0
Greuther Furth,3,6,1,2
Hertha,1,1,1,0
Wolfsburg,1,3,1,1
Bayern Munich,1,0,0,0
Ein Frankfurt,2,1,1,0
RB Leipzig,1,3,0,2
Union Berlin,2,1,1,1
Augsburg,2,3,0,3
Bielefeld,1,1,0,1
Hoffenheim,3,2,2,1
Leverkusen,7,1,3,1
Mainz,3,0,2,0
Dortmund,2,3,1,2
Stuttgart,2,2,2,1
M'gladbach,0,6,0,6
FC Koln,0,2,0,0
Bayern Munich,2,1,0,1
Bochum,1,1,1,0
Freiburg,1,2,1,1
Hertha,2,0,0,0
RB Leipzig,4,1,2,0
Wolfsburg,0,2,0,1
Greuther Furth,1,0,0,0
Ein Frankfurt,5,2,2,2
Stuttgart,0,5,0,1
Bielefeld,2,0,0,0
Mainz,4,0,2,0
Wolfsburg,2,3,1,1
M'gladbach,2,3,1,1
Augsburg,1,1,0,1
Dortmund,3,0,1,0
Leverkusen,2,2,1,0
Union Berlin,0,0,0,0
Bayern Munich,4,0,1,0
Bochum,0,1,0,1
Ein Frankfurt,1,0,1,0
Greuther Furth,0,0,0,0
Hoffenheim,1,1,0,1
RB Leipzig,0,2,0,0
Hertha,3,2,0,1
Freiburg,2,1,1,1
FC Koln,1,0,0,0
Bayern Munich,1,2,1,2
Freiburg,2,2,1,0
Greuther Furth,0,0,0,0
Hoffenheim,3,1,2,1
Leverkusen,2,2,1,1
RB Leipzig,4,1,1,0
Ein Frankfurt,2,3,2,0
Hertha,1,3,0,2
Bochum,1,0,0,0
Dortmund,5,1,3,0
FC Koln,0,4,0,2
Mainz,1,0,0,0
Stuttgart,0,2,0,1
Union Berlin,2,1,1,1
Wolfsburg,0,0,0,0
M'gladbach,1,2,0,0
Augsburg,1,1,1,1
Bielefeld,2,2,1,1
Ein Frankfurt,0,2,0,2
Freiburg,2,0,1,0
Greuther Furth,2,1,1,0
Hoffenheim,2,3,1,1
Leverkusen,5,1,2,0
M'gladbach,1,2,1,1
Bochum,2,2,1,2
RB Leipzig,2,0,0,0
Hertha,1,4,0,2
Hertha,1,1,1,0
Augsburg,2,0,1,0
Bielefeld,1,1,1,1
FC Koln,1,0,1,0
Mainz,2,0,0,0
Stuttgart,2,3,1,1
Bayern Munich,3,2,2,1
Dortmund,2,5,1,3
Wolfsburg,4,1,1,1
RB Leipzig,3,1,1,0
Bochum,4,2,4,1
Ein Frankfurt,0,2,0,1
Freiburg,1,1,0,1
Greuther Furth,2,1,1,0
M'gladbach,3,2,1,0
Leverkusen,4,2,1,0
Union Berlin,0,3,0,2
Hoffenheim,2,0,1,0
Mainz,3,2,0,1
Augsburg,1,2,1,2
Bielefeld,1,0,0,0
Stuttgart,1,1,0,0
Wolfsburg,1,2,1,0
FC Koln,1,0,0,0
Bayern Munich,4,1,0,1
Dortmund,6,0,2,0
Hertha,1,6,0,1
Hoffenheim,2,1,0,0
Freiburg,3,0,1,0
Greuther Furth,1,1,0,0
Leverkusen,3,0,1,0
M'gladbach,2,2,1,2
Union Berlin,3,1,1,0
Ein Frankfurt,0,1,0,0
Bochum,0,1,0,0
Augsburg,1,1,0,1
Bielefeld,0,1,0,0
Bayern Munich,1,1,1,1
Bochum,2,1,1,0
Hertha,1,4,0,1
RB Leipzig,1,1,0,1
Wolfsburg,1,0,1,0
Stuttgart,3,2,1,2
FC Koln,0,1,0,0
Freiburg,3,2,2,0
Hoffenheim,1,1,1,1
Union Berlin,1,1,1,0
M'gladbach,2,0,1,0
Leverkusen,0,1,0,0
Dortmund,1,0,1,0
Ein Frankfurt,2,1,0,1
Greuther Furth,1,6,1,4
Mainz,0,1,0,0
Bochum,0,2,0,0
Greuther Furth,0,0,0,0
Hertha,3,0,1,0
Mainz,4,0,1,0
Stuttgart,3,2,1,2
Bayern Munich,4,0,3,0
RB Leipzig,0,0,0,0
Wolfsburg,0,2,0,0
FC Koln,1,1,1,1
Union Berlin,1,0,0,0
Bielefeld,1,1,0,1
Ein Frankfurt,0,0,0,0
Freiburg,1,4,0,0
Hoffenheim,1,2,0,1
Leverkusen,2,1,2,1
Dortmund,1,4,0,2
Augsburg,3,0,1,0
M'gladbach,1,1,1,0
Augsburg,2,1,1,0
Stuttgart,0,2,0,1
Bayern Munich,1,0,0,0
FC Koln,3,2,0,1
Greuther Furth,0,2,0,2
Wolfsburg,4,0,2,0
Hertha,1,4,0,1
Bochum,0,0,0,0
Ein Frankfurt,1,2,0,1
RB Leipzig,3,0,3,0
Augsburg,0,1,0,0
Dortmund,6,1,5,0
Freiburg,3,0,2,0
Mainz,0,0,0,0
M'gladbach,1,3,0,3
Bielefeld,0,3,0,2
Hoffenheim,0,0,0,0
Union Berlin,2,0,2,0
Leverkusen,0,1,0,0
Wolfsburg,5,0,5,0
Ein Frankfurt,2,2,1,1
FC Koln,3,1,2,1
Freiburg,3,3,0,2
Greuther Furth,1,4,1,2
RB Leipzig,1,2,0,0
Bayern Munich,3,1,2,0
Bochum,0,2,0,2
Hertha,2,0,1,0
Union Berlin,1,1,0,1
Augsburg,1,4,0,2
Bielefeld,1,1,0,0
Dortmund,3,4,2,2
Mainz,3,1,2,1
Stuttgart,1,1,0,1
Hoffenheim,3,4,1,1
Leverkusen,2,0,1,0
M'gladbach,3,1,2,1
Bochum,2,1,1,1
FC Koln,0,1,0,1
Freiburg,1,4,0,3
Greuther Furth,1,3,0,1
Hoffenheim,2,4,2,1
Hertha,1,2,1,1
Ein Frankfurt,1,1,0,1
Bayern Munich,2,2,2,1
RB Leipzig,4,0,1,0
Augsburg,2,1,1,1
Bielefeld,1,1,0,0
Dortmund,2,1,0,1
Leverkusen,2,1,0,0
Mainz,2,2,1,2
M'gladbach,5,1,3,1
Stuttgart,2,1,1,0
Union Berlin,3,2,2,0
Wolfsburg,2,2,1,2
Ein Frankfurt,1,6,0,5
Augsburg,0,4,0,0
Bochum,1,2,1,1
M'gladbach,3,1,1,1
Union Berlin,3,1,1,0
Wolfsburg,2,2,1,2
Dortmund,1,0,1,0
Stuttgart,1,1,1,1
FC Koln,3,1,0,0
Freiburg,1,3,1,0
Hertha,1,1,1,0
Hoffenheim,3,2,2,2
Leverkusen,1,2,1,1
RB Leipzig,2,2,1,1
Werder Bremen,2,2,1,1
Schalke 04,2,2,1,0
Mainz,0,0,0,0
Bayern Munich,2,0,2,0
M'gladbach,1,0,1,0
Augsburg,1,2,1,1
Dortmund,2,3,1,0
Leverkusen,0,3,0,2
Stuttgart,0,1,0,1
Wolfsburg,0,0,0,0
Union Berlin,2,1,2,0
Ein Frankfurt,1,1,0,0
Bochum,0,7,0,4
Freiburg,1,0,0,0
Hertha,0,1,0,1
Hoffenheim,1,0,1,0
Mainz,0,3,0,3
RB Leipzig,2,0,1,0
Schalke 04,1,6,1,3
Bayern Munich,1,1,0,1
FC Koln,0,0,0,0
Werder Bremen,3,4,2,3
Dortmund,1,0,1,0
Bochum,0,2,0,0
Leverkusen,2,3,1,0
Stuttgart,1,1,1,1
Union Berlin,1,1,1,1
Wolfsburg,2,4,1,3
Ein Frankfurt,4,0,2,0
Augsburg,0,2,0,0
M'gladbach,0,1,0,0
Werder Bremen,0,1,0,0
Bayern Munich,2,2,1,0
Ein Frankfurt,0,1,0,0
Hertha,2,2,0,0
Hoffenheim,4,1,0,0
RB Leipzig,3,0,2,0
Schalke 04,3,1,1,0
FC Koln,0,1,0,1
Freiburg,0,0,0,0
Mainz,1,1,0,1
Augsburg,1,0,0,0
Dortmund,1,0,0,0
Leverkusen,1,1,0,0
Stuttgart,1,3,0,1
M'gladbach,3,0,2,0
Union Berlin,2,0,0,0
Bochum,1,1,1,0
Hoffenheim,0,0,0,0
Bayern Munich,4,0,3,0
Ein Frankfurt,2,0,2,0
FC Koln,3,2,0,1
Freiburg,2,1,2,0
RB Leipzig,4,0,2,0
Wolfsburg,3,2,2,2
Werder Bremen,5,1,4,0
Hertha,1,1,1,1
Schalke 04,2,3,1,2
Hoffenheim,1,2,1,1
Augsburg,1,1,0,1
Bochum,3,0,0,0
Leverkusen,4,0,2,0
Mainz,1,1,1,0
Dortmund,2,2,0,1
M'gladbach,5,2,2,1
Hertha,2,2,1,1
Stuttgart,0,1,0,0
Schalke 04,0,3,0,2
Ein Frankfurt,5,1,1,0
Stuttgart,4,1,2,1
Werder Bremen,0,2,0,1
Wolfsburg,2,2,1,1
RB Leipzig,3,2,3,0
FC Koln,3,2,0,1
Union Berlin,2,0,2,0
Bayern Munich,5,0,2,0
Mainz,5,0,3,0
Augsburg,3,3,1,0
Dortmund,5,0,3,0
Freiburg,2,0,0,0
Hoffenheim,0,2,0,2
Leverkusen,2,2,1,1
M'gladbach,1,3,0,3
Bochum,2,1,1,0
Hertha,2,1,0,0
Werder Bremen,1,0,0,0
Bayern Munich,6,2,3,1
RB Leipzig,2,0,1,0
Stuttgart,2,1,1,1
Wolfsburg,4,0,2,0
Ein Frankfurt,1,2,1,1
Union Berlin,2,1,0,1
Schalke 04,0,2,0,1
FC Koln,1,1,1,1
M'gladbach,3,1,2,1
Augsburg,1,2,1,1
Dortmund,3,0,3,0
Hertha,2,3,2,3
Hoffenheim,1,3,0,1
Mainz,0,3,0,1
Werder Bremen,2,1,1,0
Leverkusen,5,0,0,0
Freiburg,2,0,0,0
Wolfsburg,2,0,1,0
Bayern Munich,6,1,4,1
Bochum,2,1,2,0
Stuttgart,2,1,1,1
FC Koln,1,2,1,0
Ein Frankfurt,4,2,3,1
RB Leipzig,3,1,0,0
Schalke 04,1,0,1,0
Union Berlin,2,2,2,2
M'gladbach,4,2,3,2
Augsburg,0,1,0,0
Hertha,2,0,1,0
Hoffenheim,1,2,1,1
Leverkusen,2,0,1,0
Werder Bremen,1,2,0,1
Schalke 04,0,2,0,1
Mainz,1,1,1,0
Freiburg,4,1,4,0
Bochum,0,1,0,0
Bielefeld,2,1,1,1
Darmstadt,1,0,0,0
Ingolstadt,0,1,0,0
Dresden,1,0,0,0
Holstein Kiel,2,2,0,2
Nurnberg,3,0,2,0
Fortuna Dusseldorf,2,2,1,1
Kaiserslautern,1,1,1,0
Sandhausen,1,0,0,0
Union Berlin,4,3,3,3
Braunschweig,2,0,1,0
Duisburg,1,1,1,0
Erzgebirge Aue,0,2,0,1
Greuther Furth,1,2,0,2
Regensburg,0,1,0,0
St Pauli,2,2,1,1
Heidenheim,2,1,1,1
Braunschweig,1,1,1,1
Darmstadt,3,0,1,0
Dresden,0,4,0,1
Fortuna Dusseldorf,2,0,1,0
Heidenheim,1,2,0,0
Holstein Kiel,3,1,2,1
Ingolstadt,2,4,0,1
Nurnberg,2,2,0,0
Bielefeld,2,0,2,0
Duisburg,1,2,1,1
Greuther Furth,0,1,0,0
Erzgebirge Aue,3,1,0,0
Regensburg,1,2,1,2
St Pauli,1,0,0,0
Bochum,3,2,2,1
